house,mp_key,allocated_amount,state,constituency,elected_nominated
Lok Sabha,LS_JITENDRA_SINGH,147000000.0,Jammu And Kashmir,UDHAMPUR,
Lok Sabha,LS_JITIN_PRASADA,147000000.0,Uttar Pradesh,PILIBHIT,
Lok Sabha,LS_JOBA_MAJHI,147000000.0,Jharkhand,SINGHBHUM(ST),
Lok Sabha,LS_JOYANTA_BASUMATARY,147000000.0,Assam,KOKRAJHAR (ST),
Lok Sabha,LS_JUNE_MALIAH,147000000.0,West Bengal,MEDINIPUR,
Lok Sabha,LS_JYOTIRADITYA_M_SCINDIA,147000000.0,Madhya Pradesh,GUNA,
Lok Sabha,LS_JYOTSNA_CHARANDAS_MAHANT,155153738.11,Chhattisgarh,KORBA,
Lok Sabha,LS_K_E_PRAKASH,147000000.0,Tamil Nadu,ERODE,
Lok Sabha,LS_K_RADHAKRISHNAN,147000000.0,Kerala,ALATHUR(SC),
Lok Sabha,LS_K_SUBBARAYAN,147000000.0,Tamil Nadu,TIRUPPUR,
Lok Sabha,LS_K_C_VENUGOPAL,147000000.0,Kerala,ALAPPUZHA,
Lok Sabha,LS_K_RAJASHEKAR_BASAVARAJ_HITNAL,147000000.0,Karnataka,KOPPAL,
Lok Sabha,LS_KADIYAM_KAVYA,147000000.0,Telangana,WARANGEL(SC),
Lok Sabha,LS_KAKOLI_GHOSH_DASTIDAR,147000000.0,West Bengal,BARASAT,
Lok Sabha,LS_KALABEN_MOHANBHAI_DELKAR,269500000.0,The Dadra And Nagar Haveli And Daman And Diu,DADRA & NAGAR HAVELI (ST),
Lok Sabha,LS_KALANIDHI_VEERASWAMY,171500000.0,Tamil Nadu,CHENNAI NORTH,
Lok Sabha,LS_KALI_CHARAN_MUNDA,147000000.0,Jharkhand,KHUNTI(ST),
Lok Sabha,LS_KALI_CHARAN_SINGH,147000000.0,Jharkhand,CHATRA,
Lok Sabha,LS_KALIPADA_SAREN,147000000.0,West Bengal,JHARGRAM(ST),
Lok Sabha,LS_KALYAN_BANERJEE,147000000.0,West Bengal,SREERAMPUR,
Lok Sabha,LS_KALYAN_VAIJINATHRAO_KALE,147000000.0,Maharashtra,JALNA,
Lok Sabha,LS_KAMAKHYA_PRASAD_TASA,147000000.0,Assam,Kaziranga,
Lok Sabha,LS_KAMALJEET_SEHRAWAT,147000000.0,Delhi,WEST DELHI,
Lok Sabha,LS_KAMLESH_JANGDE,150384382.11,Chhattisgarh,JANJGIR CHAMPA(SC),
Lok Sabha,LS_KAMLESH_PASWAN,147000000.0,Uttar Pradesh,BANSGAON(SC),
Lok Sabha,LS_KANGANA_RANAUT,147000000.0,Himachal Pradesh,MANDI,
Lok Sabha,LS_KANI_K_NAVAS,147000000.0,Tamil Nadu,RAMANATHAPURAM,
Lok Sabha,LS_KANIMOZHI_KARUNANIDHI,147000000.0,Tamil Nadu,THOOTHUKKUDI,
Lok Sabha,LS_KANWAR_SINGH_TANWAR,147000000.0,Uttar Pradesh,AMROHA,
