mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_ARVIND_DHARMAPURI,Lok Sabha,Arvind Dharmapuri,ARVIND DHARMAPURI,Telangana,NIZAMABAD,
LS_ARVIND_GANPAT_SAWANT,Lok Sabha,Arvind Ganpat Sawant,ARVIND GANPAT SAWANT,Maharashtra,MUMBAI SOUTH,
LS_ASADUDDIN_OWAISI,Lok Sabha,Asaduddin Owaisi,ASADUDDIN OWAISI,Telangana,HYDERABAD,
LS_ASHISH_DUBEY,Lok Sabha,ASHISH DUBEY,ASHISH DUBEY,Madhya Pradesh,JABALPUR,
LS_ASHOK_KUMAR_RAWAT,Lok Sabha,Ashok Kumar Rawat,ASHOK KUMAR RAWAT,Uttar Pradesh,MISRIKH(SC),
LS_ASHOK_KUMAR_YADAV,Lok Sabha,Ashok Kumar Yadav,ASHOK KUMAR YADAV,Bihar,MADHUBANI,
LS_ASIT_KUMAR_MAL,Lok Sabha,Asit Kumar Mal,ASIT KUMAR MAL,West Bengal,BOLPUR(SC),
LS_ATUL_GARG,Lok Sabha,ATUL GARG,ATUL GARG,Uttar Pradesh,GHAZIABAD,
LS_AVIMANYU_SETHI,Lok Sabha,AVIMANYU SETHI,AVIMANYU SETHI,Odisha,BHADRAK(SC),
LS_AWADHESH_PRASAD,Lok Sabha,AWADHESH PRASAD,AWADHESH PRASAD,Uttar Pradesh,FAIZABAD,
LS_AZAD_KIRTI_JHA,Lok Sabha,AZAD KIRTI JHA,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,
LS_B_K_PARTHASARATHI,Lok Sabha,B K PARTHASARATHI,B K PARTHASARATHI,Andhra Pradesh,HINDUPUR,
LS_BABU_SINGH_KUSHWAHA,Lok Sabha,BABU SINGH KUSHWAHA,BABU SINGH KUSHWAHA,Uttar Pradesh,JAUNPUR,
LS_BACHHAV_SHOBHA_DINESH,Lok Sabha,BACHHAV SHOBHA DINESH,BACHHAV SHOBHA DINESH,Maharashtra,DHULE,
LS_BAG_MITALI,Lok Sabha,BAG MITALI,BAG MITALI,West Bengal,ARAMBAG(SC),
LS_BAIJAYANT_PANDA,Lok Sabha,BAIJAYANT PANDA,BAIJAYANT PANDA,Odisha,KENDRAPARA,
LS_BAJRANG_MANOHAR_SONWANE,Lok Sabha,BAJRANG MANOHAR SONWANE,BAJRANG MANOHAR SONWANE,Maharashtra,BEED,
LS_BALABHADRA_MAJHI,Lok Sabha,BALABHADRA MAJHI,BALABHADRA MAJHI,Odisha,NABARANGPUR(ST),
LS_BALASHOWRY_VALLABBHANENI,Lok Sabha,Balashowry Vallabbhaneni,BALASHOWRY VALLABBHANENI,Andhra Pradesh,MACHILIPATNAM,
LS_BALRAM_NAIK_PORIKA,Lok Sabha,BALRAM NAIK PORIKA,BALRAM NAIK PORIKA,Telangana,MAHABUBABAD,
LS_BALWANT_BASWANT_WANKHADE,Lok Sabha,BALWANT BASWANT WANKHADE,BALWANT BASWANT WANKHADE,Maharashtra,AMRAVATI(SC),
LS_BALYA_MAMA_SURESH_GOPINATH_MHATRE,Lok Sabha,BALYA MAMA SURESH GOPINATH MHATRE,BALYA MAMA SURESH GOPINATH MHATRE,Maharashtra,BHIWANDI,
LS_BANSURI_SWARAJ,Lok Sabha,Bansuri Swaraj,BANSURI SWARAJ,Delhi,NEW DELHI,
