work_id,anomaly_score,payment_anomaly_score,payment_anomaly_flag,payment_count,execution_anomaly_score,execution_anomaly_flag,consistency_review_flag,payment_exceeds_sanction_flag,execution_anomaly_reason,payment_data_available,financial_risk_0_100,payment_risk_0_100,execution_risk_0_100,combined_base_risk,final_risk_score,risk_level,investigation_priority
WS/MP189/2026-2027/247312,0.7389736919638502,0.5339494904392892,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.83013589128697,96.93057946069995,0,98.38035767599345,98.38035767599345,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18232/2026-2027/228652,0.7368191522688667,0.5267025813469758,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.82513988808954,96.39988525530694,0,98.11251257169823,98.11251257169823,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18053/2026-2027/276201,0.7357455014007849,0.5052399394253145,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.82014388489209,93.01491681009753,0,96.41753034749482,96.41753034749482,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18391/2026-2027/283789,0.7339225140130409,0.5029812544550629,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.81514788169464,92.7710843373494,0,96.29311610952202,96.29311610952202,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP139/2026-2027/103181,0.7303390184314122,0.5528751398790643,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.8101518784972,98.04934021801492,0,98.92974604825605,98.92974604825605,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18255/2026-2027/257051,0.7295543711329613,0.4525723127913428,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.80515587529976,78.37062535857716,0,89.08789061693847,89.08789061693847,HIGH,HIGH_REVIEW
WS/MP195/2026-2027/299885,0.7290264619447707,0.677427052807258,1,11,0,0,0,0,No execution anomaly or consistency issue detected,1,99.80015987210233,99.8995983935743,0,99.84987913283831,99.84987913283831,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18095/2026-2027/246711,0.7277690795190576,0.6247850212691459,1,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.79516386890488,99.58405048766494,0,99.68960717828492,99.68960717828492,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18023/2026-2027/292802,0.7270064137589789,0.5148668006908484,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.79016786570743,94.80780263912794,0,97.29898525241768,97.29898525241768,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP458/2026-2027/150074,0.7246749345705514,0.5488943159659245,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.78517186251,97.80550774526678,0,98.7953398038884,98.7953398038884,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18184/2026-2027/211713,0.7244617472862097,0.5125880805477759,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.78017585931255,94.40619621342513,0,97.09318603636885,97.09318603636885,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18319/2026-2027/236045,0.7206057152956611,0.4819603151250221,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7751798561151,88.26735513482501,0,94.02126749547006,94.02126749547006,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP233/2026-2027/307733,0.7193190281472541,0.4753508853678898,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.77018385291767,85.59954102122776,0,92.68486243707272,92.68486243707272,VERY_HIGH,VERY_HIGH_REVIEW
